t sigma_z_10 sigma_z_20 sigma_z_30 sigma_z_40
17.85571142284569 0.12862983182489662 -0.12493385867785568 -0.24607666701049735 -0.2421437419735959
17.915831663326653 0.12845197767785427 -0.12568130130730634 -0.24715587361637587 -0.24231659690057844
17.975951903807616 0.1282500892000935 -0.126023103508146 -0.24854240430141536 -0.24258786869967836
18.036072144288575 0.12777699348014893 -0.12603977297034913 -0.25035942563664376 -0.24291245839614822
18.096192384769537 0.12731948013385563 -0.12602533783322795 -0.2523779778977537 -0.24351198294516765
18.1563126252505 0.12696855832723433 -0.12589366782904493 -0.25407141440334474 -0.24433465092141732
18.216432865731463 0.12673330727734441 -0.12559065975347092 -0.2555934567570178 -0.24525654762211088
18.276553106212425 0.1268304299494624 -0.1254134256500252 -0.2572456365222213 -0.24632475130952816
18.336673346693384 0.12695608528680286 -0.1253725659848821 -0.2587582602787318 -0.24789263127388486
18.396793587174347 0.12691476834497092 -0.12532648395868784 -0.2601121199994074 -0.24916190929300147
18.45691382765531 0.1271964266016694 -0.1252566195115554 -0.26137296264073584 -0.25037285025696737
18.517034068136272 0.12746765869864607 -0.1253403974710111 -0.26284805611290263 -0.2515319274880243
18.577154308617235 0.12739981392249541 -0.12556998321156643 -0.2641633148850122 -0.25298894343310324
18.637274549098194 0.12739466673639346 -0.12583167085995942 -0.2653217228046803 -0.25466712821053206
18.697394789579157 0.12740757781295392 -0.1265043620434991 -0.26636821783711995 -0.2565072482762168
18.75751503006012 0.12690658928092738 -0.12714308642412517 -0.267158505571665 -0.25798359075351684
18.817635270541082 0.12627834530255394 -0.1278848808366112 -0.26777035845639463 -0.259640380611699
18.877755511022045 0.12545310669333462 -0.12822481080239687 -0.2684094910644703 -0.26125301937725265
18.937875751503004 0.12493378239301264 -0.12870342380732677 -0.26908830499039116 -0.26270961822724115
18.997995991983966 0.1239688698932428 -0.12887626871828 -0.26978891951287276 -0.2638656154168683
19.05811623246493 0.12319029626734902 -0.1287025162367537 -0.27028198835022865 -0.26500683449146256
19.118236472945892 0.12263150845115672 -0.12841067811583298 -0.27034077928538136 -0.2662850514716968
19.178356713426854 0.1220545879399435 -0.1283186987474868 -0.2702960012363479 -0.26739239681101223
19.238476953907814 0.12102926364254228 -0.12801971262461648 -0.2701300395777813 -0.26857210381963853
19.298597194388776 0.12015788928846716 -0.12809806490075276 -0.2698623689532435 -0.2694685451807448
19.35871743486974 0.11899098793798461 -0.12846005063950064 -0.2699014350280335 -0.27033432855297246
19.4188376753507 0.11771455943430952 -0.12936666323023255 -0.26997108432317524 -0.27148555683347014
19.478957915831664 0.11689023721959871 -0.13040482887650998 -0.2700055970458304 -0.2727180846672493
19.539078156312623 0.11680405300693754 -0.1315911401270746 -0.27024583896055987 -0.27398566785250894
19.599198396793586 0.11666371153950864 -0.13282115427195507 -0.2705162863828446 -0.2752691438871874
19.65931863727455 0.11642326767981369 -0.13430027058857896 -0.27093787503909256 -0.2765781144383075
19.71943887775551 0.11601489985429742 -0.13570341772836061 -0.27135118452442725 -0.27786327730893456
19.779559118236474 0.1158956514874095 -0.13712162371663372 -0.2719872719734712 -0.2795031829095965
19.839679358717433 0.11574533861739503 -0.13869740985442683 -0.2723690462341815 -0.28105975153508994
19.899799599198396 0.1159678485951342 -0.1401282745895118 -0.2730034691825498 -0.2823190338657023
19.95991983967936 0.1169097790341837 -0.14120123519667874 -0.27369566642967863 -0.2833650534067837
20.02004008016032 0.11814365960519653 -0.14218087853391745 -0.2741868894348098 -0.2842358484901195
20.080160320641284 0.11924908251181482 -0.1427931508993453 -0.27466652626431004 -0.28493652533561115
20.140280561122243 0.11999175934922945 -0.14327943989940053 -0.27517802055964175 -0.2854491395074837
20.200400801603205 0.12066985871678601 -0.14383161896845237 -0.2755597534267853 -0.28596196675824836
20.260521042084168 0.12082173263742468 -0.14404965667086153 -0.27637953264951387 -0.28643897022938825
20.32064128256513 0.12095224348176273 -0.1444248575326256 -0.27715623360743447 -0.2868159963564417
20.38076152304609 0.12102173815151136 -0.14510097935787383 -0.2775405972757663 -0.2868160933904905
20.440881763527052 0.12105773660490736 -0.14573087814119556 -0.27765691465142417 -0.2870615516149748
20.501002004008015 0.12101579479546658 -0.14599891722453667 -0.27783939122835033 -0.2874412951297165
20.561122244488978 0.12099835268931952 -0.14622922178168365 -0.2781161459283063 -0.2880214171111059
20.62124248496994 0.12041551975509267 -0.14643284651431446 -0.2785368815745941 -0.28829988931362416
20.6813627254509 0.11956774361834693 -0.1466293964827748 -0.27940100558984576 -0.28861841285920964
20.741482965931862 0.11856499425229831 -0.14703287088617703 -0.2802907723997814 -0.2888046762710774
20.801603206412825 0.11783231512734464 -0.14687711273198284 -0.281148795507377 -0.2892016984735247
20.861723446893787 0.11715620705413872 -0.14655224106568507 -0.28193318442406046 -0.2893881183346736
20.92184368737475 0.11668801870313598 -0.14630481532417008 -0.28271791630170984 -0.28946223954936945
20.98196392785571 0.11651563061301891 -0.14666470769361117 -0.28316958692462696 -0.2896677831596971
21.04208416833667 0.11665622255600251 -0.14745193407083415 -0.2837194097466257 -0.2898846011886845
21.102204408817634 0.11715133475951629 -0.14806958960545516 -0.28417214160542414 -0.29013976502748445
21.162324649298597 0.11726803554284045 -0.14876273283084743 -0.2846616643115123 -0.2902591838335876
21.22244488977956 0.11738120633587851 -0.14945815521906053 -0.2851995663581954 -0.29067275059289954
21.28256513026052 0.11792640374338655 -0.15017005414882398 -0.28593440550297966 -0.29104241591840585
21.34268537074148 0.11846374952159362 -0.15100040842423434 -0.28656213691627797 -0.2912412547118695
21.402805611222444 0.11895304842670534 -0.15198252895822773 -0.2872060783702946 -0.2916001959346619
21.462925851703407 0.11943855989862925 -0.15292519256633613 -0.28796034368024337 -0.29231646433746444
21.52304609218437 0.11976778808961917 -0.1537221154301475 -0.28876027388297554 -0.29309011488042763
21.58316633266533 0.1198023440367984 -0.1544735374081934 -0.28941354731522695 -0.2941913140068249
21.64328657314629 0.11962995185072792 -0.15560315609795364 -0.29033625955595166 -0.2957294551501685
21.703406813627254 0.1189835581092181 -0.15658299291409417 -0.2912790330857336 -0.29717147865971055
21.763527054108216 0.1183025302519976 -0.15719416942883363 -0.2920693660621483 -0.29835959427232794
21.82364729458918 0.11764639277646163 -0.15752283927602936 -0.2928617134513099 -0.29926884656935343
21.883767535070138 0.11704805687537159 -0.15813625532624798 -0.2935927032388339 -0.3006117574695071
21.9438877755511 0.11661453185393725 -0.15886151305538848 -0.29403641152442944 -0.30183336989276416
22.004008016032063 0.11613418056290445 -0.1597375696027428 -0.2944682821864337 -0.30336679005434314
22.064128256513026 0.11591359284238995 -0.16042543200989645 -0.29498366281244287 -0.30485041054808115
22.12424849699399 0.11539680955969213 -0.1615412718868068 -0.2954071831832715 -0.3060135170851314
22.184368737474948 0.11478464873866832 -0.16265285466777227 -0.29605883591762766 -0.30737312860355387
22.24448897795591 0.11415669143374 -0.1637847705069883 -0.2965684804015042 -0.3088607547834797
22.304609218436873 0.11366854667941677 -0.16503621877760571 -0.2968226710293578 -0.31008369291665533
22.364729458917836 0.113141319314555 -0.166367268145789 -0.29677281294686936 -0.31114567324447506
22.4248496993988 0.11310448735655339 -0.16774036150979513 -0.29674084160013176 -0.31249784999944125
