t sigma_zs_1em3 max_bond_dim_1em3 sigma_zs_1em4 max_bond_dim_1em4 sigma_zs_1em5 max_bond_dim_1em5 
6.124082721814543 -0.4391550983214197 3.091 -0.4464233882546916 4.0005 -0.4442409494771139 6.0 
6.144096064042695 -0.43156839042797784 3.0913 -0.4387007603446302 4.0005 -0.4364457461930404 6.0 
6.164109406270847 -0.424115618942035 3.0917 -0.43053945463660964 4.0005 -0.4283093116992388 6.0 
6.184122748498999 -0.4165595475628317 3.0918 -0.4222378015825392 4.0005 -0.4200320034464894 6.0 
6.204136090727151 -0.4086147264849184 3.0924 -0.4138185505201499 4.0006 -0.4115903333380851 6.0 
6.224149432955303 -0.4011058901533521 3.0921 -0.4051271333679564 4.0007 -0.40333023064794854 6.0 
6.244162775183455 -0.39321215837473433 3.0917 -0.39688190221838693 4.0007 -0.3950142365294144 6.0 
6.2641761174116075 -0.38502427025307767 3.0921 -0.3885056789669735 4.0007 -0.3870280068779572 6.0 
6.28418945963976 -0.37724803031070814 3.092 -0.3803884941264204 4.0007 -0.3790742251206464 6.0 
6.304202801867912 -0.3697194968929109 3.0923 -0.3724309232951053 4.0007 -0.37107478143692335 6.0 
6.324216144096064 -0.3621400751128689 3.0931 -0.3642995553612162 4.0007 -0.3638514584518076 6.0 
6.344229486324216 -0.3551757695233719 3.0931 -0.35611924741762324 4.0007 -0.35635182027464335 6.0 
6.364242828552368 -0.34813051893776004 3.0931 -0.3484473447243732 4.0007 -0.34892768311515204 6.0 
6.38425617078052 -0.34130312809285923 3.093 -0.3409954847497279 4.0007 -0.34174072650609555 6.0 
6.404269513008672 -0.33435223253080376 3.0932 -0.3335601200850971 4.0007 -0.3343852123814233 6.0 
6.424282855236824 -0.3278825935681313 3.0931 -0.3266696475962503 4.0007 -0.3275688366099385 6.0 
6.444296197464976 -0.3220503154828645 3.0928 -0.3196259167152412 4.0007 -0.32082659447542844 6.0 
6.4643095396931285 -0.31616665049224585 3.0925 -0.3127044664929556 4.0008 -0.31448866652881863 6.0 
6.484322881921281 -0.3106585002887402 3.0925 -0.3065025158791722 4.0008 -0.3085103586802232 6.0 
6.504336224149433 -0.3053255650776298 3.0926 -0.3003890701495883 4.0008 -0.3027729743502576 6.0 
6.524349566377585 -0.29974594978218794 3.0922 -0.2950500443598 4.0008 -0.2974094832933508 6.0 
6.544362908605737 -0.29465615311624815 3.092 -0.2895126842149175 4.0008 -0.29215577375653135 6.0 
6.564376250833889 -0.29029593371287365 3.0916 -0.28505245634728316 4.0008 -0.2868331420998605 5.9999 
6.584389593062041 -0.2861830460618421 3.0918 -0.2812371429430379 4.0008 -0.2824935436409279 5.9999 
6.604402935290193 -0.28213484972796704 3.0915 -0.2778910558259 4.0008 -0.27909616746250643 5.9999 
6.624416277518345 -0.27854931280166545 3.0915 -0.2748023276914808 4.0008 -0.27580047266432045 5.9999 
6.644429619746497 -0.2754862531812361 3.0916 -0.27165848662338204 4.0008 -0.2730547709223822 5.9999 
6.6644429619746495 -0.2730785760256623 3.0916 -0.26920012521844094 4.0008 -0.27148549343973405 5.9999 
6.684456304202802 -0.2713212628684899 3.0918 -0.26710340064365135 4.0009 -0.270014502724823 5.9999 
6.704469646430954 -0.2695187709376996 3.0919 -0.2657752586131588 4.0009 -0.2686725766689012 5.9999 
6.724482988659106 -0.2684605729152118 3.0919 -0.26459621862963306 4.0009 -0.26793593191241427 5.9999 
